"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Apr-00","STAR5","Japan Open 2000",10361,"MD","Quarter final","5045379, 5046232","5048125, 5049639","15-12 / 15-11","15-Dec"," 15-11","","","",15,12,15,11,,,,,,,2,0,30,23,7,6
"Jul-00","STAR5","Indonesia Open 2000",13592,"MD","Quarter final","5019301, 5046039","5022387, 5049765","15-14 / 5-15 / 15-9","15-14 "," 5-15 "," 15-9","","",15,14,5,15,15,9,,,,,2,1,35,38,7,6
"Jul-00","STAR5","Indonesia Open 2000",13592,"MD","Quarter final","5047971, 5049696","5020783, 5020794","17-14 / 15-11","17-14 "," 15-11","","","",17,14,15,11,,,,,,,2,0,32,25,7,6
"Jul-00","STAR5","Indonesia Open 2000",13592,"MD","Round 2","5019301, 5046039","5045048, 5045145","15-4 / 15-1","15-Apr"," 15-1","","","",15,4,15,1,,,,,,,2,0,30,5,7,4
"Aug-00","STAR5","Malaysia Open 2000",13811,"MD","Round 1","5019301, 5046039","5055264, 5055367","15-6 / 11-15 / 15-12","15-Jun"," 11-15 "," 15-12","","",15,6,11,15,15,12,,,,,2,1,41,33,7,4
"Aug-00","STAR5","Malaysia Open 2000",13811,"MD","Round 1","5014629, 5046333","5038134, 5045377","17-14 / 15-10","17-14 "," 15-10","","","",17,14,15,10,,,,,,,2,0,32,24,7,4
"Aug-00","STAR5","Malaysia Open 2000",13811,"MD","Round 1","5013584, 5040913","5005329, 5048322","15-2 / 15-3","15-Feb"," 15-3","","","",15,2,15,3,,,,,,,2,0,30,5,7,4
"Jan-01","STAR6","Korea Open 2001",13602,"MD","Quarter final","5037714, 5050083","5001994, 5048647","15-6 / 15-6","15-Jun"," 15-6","","","",15,6,15,6,,,,,,,2,0,30,12,8,6
"Jan-01","STAR6","Korea Open 2001",13602,"MD","Round 3","5042983, 5046518","5019301, 5049696","15-9 / 15-11","15-Sep"," 15-11","","","",15,9,15,11,,,,,,,2,0,30,20,8,4
"Jan-01","STAR6","Korea Open 2001",13602,"MD","Round 3","5046039, 5047971","5022387, 5049765","9-15 / 15-1 / 15-3","Sep-15"," 15-1 "," 15-3","","",9,15,15,1,15,3,,,,,2,1,39,19,8,4
"Mar-01","STAR4","All England Open 2001",10682,"MD","Round 2","5053302, 5055373","5037282, 5045237","9-15 / 15-11 / 15-8","Sep-15"," 15-11 "," 15-8","","",9,15,15,11,15,8,,,,,2,1,39,34,6,4
"Mar-01","STAR4","Swiss Open 2001",13874,"MD","Round 2","5037714, 5050083","5048807, 5048811","7-2 / 7-1 / 7-2","7-Feb"," 7-1 "," 7-2","","",7,2,7,1,7,2,,,,,2,1,21,5,6,4
"Jun-01","WC","World Championships 2001",12622,"MD","Quarter final","5020783, 5020794","5016156, 5026798","17-14 / 15-13","17-14 "," 15-13","","","",17,14,15,13,,,,,,,2,0,32,27,10,6
"Jun-01","WC","World Championships 2001",12622,"MD","Round 3","5046039, 5047971","5036150, 5055372","15-13 / 15-5","15-13 "," 15-5","","","",15,13,15,5,,,,,,,2,0,30,18,10,4
"Jun-01","WC","World Championships 2001",12622,"MD","Round 3","5045379, 5046232","5037714, 5050083","15-7 / 15-6","15-Jul"," 15-6","","","",15,7,15,6,,,,,,,2,0,30,13,10,4
"Jun-01","WC","World Championships 2001",12622,"MD","Round 2","5042983, 5046518","5011943, 5011959","15-8 / 15-8","15-Aug"," 15-8","","","",15,8,15,8,,,,,,,2,0,30,16,10,4
"Jun-01","WC","World Championships 2001",12622,"MD","Round 2","5037714, 5050083","5011103, 5011160","7-15 / 15-6 / 15-2","Jul-15"," 15-6 "," 15-2","","",7,15,15,6,15,2,,,,,2,1,37,23,10,4
"Jun-01","WC","World Championships 2001",12622,"MD","Round 1","5036150, 5055372","5049904, 5052874","15-9 / 15-6","15-Sep"," 15-6","","","",15,9,15,6,,,,,,,2,0,30,15,10,4
"Jul-01","STAR4","Malaysia Open 2001",13905,"MD","Quarter final","5014629, 5046333","5026138, 5044537","7-2 / 7-2 / 4-7","7-Feb"," 7-2 "," 4-7","","",7,2,7,2,4,7,,,,,2,1,18,11,6,6
"Aug-01","GPF","World Grand Prix Final 2000",10977,"MD","Group A","5042983, 5046518","5046308, 5046425","7-5 / 7-3 / 8-6","7-May"," 7-3 "," 8-6","","",7,5,7,3,8,6,,,,,2,1,22,14,9,2
"Aug-01","GPF","World Grand Prix Final 2000",10977,"MD","Group A","5019301, 5046039","5046308, 5046425","7-3 / 7-3 / 7-2","7-Mar"," 7-3 "," 7-2","","",7,3,7,3,7,2,,,,,2,1,21,8,9,2
"Sep-01","STAR6","China Open 2001",11123,"MD","Round 1","5014629, 5046333","5043767, 5044103","4-7 / 7-3 / 7-5","4-Jul"," 7-3 "," 7-5","","",4,7,7,3,7,5,,,,,2,1,18,15,8,4
"Oct-01","STAR6","Denmark Open 2001",13673,"MD","Round 1","5046308, 5046425","5005158, 5027457","7-8 / 7-4 / 7-2","7-Aug"," 7-4 "," 7-2","","",7,8,7,4,7,2,,,,,2,1,21,14,8,4
"Nov-01","STAR2","Thailand Open 2001",12149,"MD","Quarter final","5016156, 5026798","5007944, 5007963","7-1 / 7-5 / 7-5","7-Jan"," 7-5 "," 7-5","","",7,1,7,5,7,5,,,,,2,1,21,11,4,6
"Mar-02","STAR4","All England Open 2002",10304,"MD","Round 3","5005176, 5022359","5021449, 5045795","7-3 / 7-1 / 7-2","7-Mar"," 7-1 "," 7-2","","",7,3,7,1,7,2,,,,,2,1,21,6,6,4
"Mar-02","STAR3","Swiss Open 2002",11851,"MD","Round 2","5026138, 5044537","5007944, 5007963","8-7 / 3-7 / 8-6","8-Jul"," 3-7 "," 8-6","","",8,7,3,7,8,6,,,,,2,1,19,20,5,4
"Mar-02","STAR5","Korea Open 2002",12591,"MD","Round 2","5005176, 5022359","5036150, 5055372","7-4 / 3-7 / 7-3","7-Apr"," 3-7 "," 7-3","","",7,4,3,7,7,3,,,,,2,1,17,14,7,4
"Mar-02","STAR5","Korea Open 2002",12591,"MD","Round 2","5038134, 5045377","5016156, 5026798","7-1 / 7-0 / 7-1","7-Jan"," 7-0 "," 7-1","","",7,1,7,0,7,1,,,,,2,1,21,2,7,4
"Apr-02","EC","European Championships 2002",12677,"MD","Quarter final","5046522, 5050083","5015689, 5050131","8-6 / 4-7 / 7-1","8-Jun"," 4-7 "," 7-1","","",8,6,4,7,7,1,,,,,2,1,19,14,8,6
"Aug-02","STAR5","Singapore Open 2002",11751,"MD","Quarter final","5018607, 5039298","5013584, 5040913","15-6 / 15-13","15-Jun"," 15-13","","","",15,6,15,13,,,,,,,2,0,30,19,7,6
"Aug-02","STAR5","Singapore Open 2002",11751,"MD","Round 1","5036150, 5055372","5021449, 5045795","15-6 / 15-4","15-Jun"," 15-4","","","",15,6,15,4,,,,,,,2,0,30,10,7,4
"Aug-02","STAR5","Singapore Open 2002",11751,"MD","Round 1","5011943, 5011959","5044897, 5053159","15-13 / 15-6","15-13 "," 15-6","","","",15,13,15,6,,,,,,,2,0,30,19,7,4
"Aug-02","STAR5","Singapore Open 2002",11751,"MD","Round 1","5003128, 5022387","5007944, 5007963","15-4 / 15-8","15-Apr"," 15-8","","","",15,4,15,8,,,,,,,2,0,30,12,7,4
"Aug-02","STAR5","Singapore Open 2002",11751,"MD","Round 1","5013584, 5040913","5019301, 5046039","15-9 / 15-6","15-Sep"," 15-6","","","",15,9,15,6,,,,,,,2,0,30,15,7,4
