"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 1","5046716","5048020","15-1 / 15-6","15-Jan"," 15-6","","","",15,1,15,6,NA,NA,NA,NA,NA,NA,2,0,30,7,7,4
1992-03-01,"MID","French Open 1992",12710,"MS","Qual Round 3","5046351","5049394","15-6 / 15-6","15-Jun"," 15-6","","","",15,6,15,6,NA,NA,NA,NA,NA,NA,2,0,30,12,1,2
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 3","5052970","5050764","8-15 / 15-7 / 15-5","Aug-15"," 15-7 "," 15-5","","",8,15,15,7,15,5,NA,NA,NA,NA,2,1,38,27,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 1","5050208","5052941","15-6 / 15-8","15-Jun"," 15-8","","","",15,6,15,8,NA,NA,NA,NA,NA,NA,2,0,30,14,7,4
1992-04-01,"AC","Asia Championships 1992",13238,"MS","Semi final","5043925","5041196","15-8 / 15-17 / 15-8","15-Aug"," 15-17 "," 15-8","","",15,8,15,17,15,8,NA,NA,NA,NA,2,1,45,33,8,8
1992-04-01,"AC","Asia Championships 1992",13238,"MS","Quarter final","5041196","5048046","15-5 / 15-0","15-May"," 15-0","","","",15,5,15,0,NA,NA,NA,NA,NA,NA,2,0,30,5,8,6
1992-04-01,"AC","Asia Championships 1992",13238,"MS","Quarter final","5043925","5050244","15-10 / 15-5","15-Oct"," 15-5","","","",15,10,15,5,NA,NA,NA,NA,NA,NA,2,0,30,15,8,6
1992-04-01,"AC","Asia Championships 1992",13238,"MS","Round 3","5050244","5048691","15-11 / 15-2","15-Nov"," 15-2","","","",15,11,15,2,NA,NA,NA,NA,NA,NA,2,0,30,13,8,4
1992-04-01,"AC","Asia Championships 1992",13238,"MS","Round 3","5048046","5010741","15-11 / 10-15 / 15-4","15-Nov"," 10-15 "," 15-4","","",15,11,10,15,15,4,NA,NA,NA,NA,2,1,40,30,8,4
1992-04-01,"EC","European Championships 1992",13695,"MS","Final","5049711","5052970","15-10 / 15-10","15-Oct"," 15-10","","","",15,10,15,10,NA,NA,NA,NA,NA,NA,2,0,30,20,8,10
1992-04-01,"EC","European Championships 1992",13695,"MS","Semi final","5052970","5046716","8-15 / 15-7 / 15-13","Aug-15"," 15-7 "," 15-13","","",8,15,15,7,15,13,NA,NA,NA,NA,2,1,38,35,8,8
1992-04-01,"EC","European Championships 1992",13695,"MS","Quarter final","5049711","5049513","15-11 / 15-7","15-Nov"," 15-7","","","",15,11,15,7,NA,NA,NA,NA,NA,NA,2,0,30,18,8,6
1992-04-01,"EC","European Championships 1992",13695,"MS","Round 2","5046716","5055004","15-7 / 15-7","15-Jul"," 15-7","","","",15,7,15,7,NA,NA,NA,NA,NA,NA,2,0,30,14,8,4
1992-04-01,"EC","European Championships 1992",13695,"MS","Round 2","5052970","5052077","15-8 / 15-10","15-Aug"," 15-10","","","",15,8,15,10,NA,NA,NA,NA,NA,NA,2,0,30,18,8,4
1992-04-01,"EC","European Championships 1992",13695,"MS","Round 2","5049513","5053081","15-7 / 15-3","15-Jul"," 15-3","","","",15,7,15,3,NA,NA,NA,NA,NA,NA,2,0,30,10,8,4
1992-04-01,"EC","European Championships 1992",13695,"MS","Round 1","5052970","5048811","15-4 / 15-5","15-Apr"," 15-5","","","",15,4,15,5,NA,NA,NA,NA,NA,NA,2,0,30,9,8,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Final","5048592","5034124","15-12 / 18-13","15-Dec"," 18-13","","","",15,12,18,13,NA,NA,NA,NA,NA,NA,2,0,33,25,10,10
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Semi final","5034124","5040984","10-15 / 15-9 / 15-9","Oct-15"," 15-9 "," 15-9","","",10,15,15,9,15,9,NA,NA,NA,NA,2,1,40,33,10,8
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Semi final","5048592","5052970","18-14 / 15-8","18-14 "," 15-8","","","",18,14,15,8,NA,NA,NA,NA,NA,NA,2,0,33,22,10,8
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Quarter final","5034124","5049711","15-10 / 15-12","15-Oct"," 15-12","","","",15,10,15,12,NA,NA,NA,NA,NA,NA,2,0,30,22,10,6
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Quarter final","5048592","5051712","15-9 / 15-4","15-Sep"," 15-4","","","",15,9,15,4,NA,NA,NA,NA,NA,NA,2,0,30,13,10,6
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Quarter final","5052970","5043925","15-12 / 15-8","15-Dec"," 15-8","","","",15,12,15,8,NA,NA,NA,NA,NA,NA,2,0,30,20,10,6
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 3","5048592","5050277","15-4 / 15-7","15-Apr"," 15-7","","","",15,4,15,7,NA,NA,NA,NA,NA,NA,2,0,30,11,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 2","5048592","5048691","15-11 / 15-2","15-Nov"," 15-2","","","",15,11,15,2,NA,NA,NA,NA,NA,NA,2,0,30,13,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 2","5034124","5046519","15-11 / 15-6","15-Nov"," 15-6","","","",15,11,15,6,NA,NA,NA,NA,NA,NA,2,0,30,17,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 2","5049711","5055169","15-2 / 15-4","15-Feb"," 15-4","","","",15,2,15,4,NA,NA,NA,NA,NA,NA,2,0,30,6,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 1","5046519","5026528","5-15 / 15-12 / 15-5","May-15"," 15-12 "," 15-5","","",5,15,15,12,15,5,NA,NA,NA,NA,2,1,35,32,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"MS","Round 1","5048691","5046716","16-18 / 15-12 / 17-15","16-18 "," 15-12 "," 17-15","","",16,18,15,12,17,15,NA,NA,NA,NA,2,1,48,45,10,4
1992-08-01,"WCU","World Cup 1992",12160,"MS","Final","5041196","5040984","18-13 / 15-8","18-13 "," 15-8","","","",18,13,15,8,NA,NA,NA,NA,NA,NA,2,0,33,21,9,10
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Final","5043925","5052970","15-5 / 15-7","15-May"," 15-7","","","",15,5,15,7,NA,NA,NA,NA,NA,NA,2,0,30,12,7,10
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Quarter final","5052970","5046076","15-10 / 2-15 / 15-10","15-Oct"," 2-15 "," 15-10","","",15,10,2,15,15,10,NA,NA,NA,NA,2,1,32,35,7,6
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Quarter final","5043925","5048211","15-6 / 15-2","15-Jun"," 15-2","","","",15,6,15,2,NA,NA,NA,NA,NA,NA,2,0,30,8,7,6
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 4","5043925","5050244","15-12 / 11-15 / 15-11","15-Dec"," 11-15 "," 15-11","","",15,12,11,15,15,11,NA,NA,NA,NA,2,1,41,38,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 4","5050764","5047961","15-12 / 15-7","15-Dec"," 15-7","","","",15,12,15,7,NA,NA,NA,NA,NA,NA,2,0,30,19,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 3","5045258","5048020","15-11 / 15-9","15-Nov"," 15-9","","","",15,11,15,9,NA,NA,NA,NA,NA,NA,2,0,30,20,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 3","5050244","5045257","15-2 / 15-5","15-Feb"," 15-5","","","",15,2,15,5,NA,NA,NA,NA,NA,NA,2,0,30,7,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 2","5050244","5039760","15-5 / 15-3","15-May"," 15-3","","","",15,5,15,3,NA,NA,NA,NA,NA,NA,2,0,30,8,7,4
