"Player","Rating","Rank"
"5015724, 5047892",1534.84137836888,110
"5002467, 5054040",1533.85262469355,111
"5043910, 5050519",1532.11944303863,112
"5047055, 5050074",1524.45599418998,113
"5018494, 5055359",1521.87989072145,114
"5007693, 5047670",1517.87430533049,115
"5043910, 5051593",1514.73755106924,116
"5017975, 5029915",1513.38855803062,117
"5044100, 5052511",1511.31644770164,118
"5005308, 5014989",1510.7009310631,119
"5046905, 5053941",1510.20875077159,120
"5040919, 5048486",1509.36547503455,121
"5046844, 5046994",1508.94140640664,122
"5045288, 5048206",1508.81933301343,123
"5012279, 5030659",1507.77277812148,124
"5042492, 5055602",1503.5434459986,125
"5019492, 5047440",1499.52782029572,126
"5004619, 5048629",1498.82206710588,127
"5004624, 5038035",1498.51755146951,128
"5028638, 5029761",1496.24612072645,129
"5032952, 5044746",1496.01999962342,130
"5025894, 5035933",1492.42943643711,131
"5004624, 5011743",1491.74622175898,132
"5002467, 5026408",1490.69893047676,133
"5046430, 5046529",1489.59361599719,134
"5018977, 5029219",1488.18013353991,135
"5040299, 5041012",1484.34603999449,136
"5004998, 5055570",1481.06773777679,137
"5015403, 5053515",1480.78211784208,138
"5040831, 5045572",1478.30168470193,139
"5004619, 5020998",1477.10743872433,140
"5050334, 5055570",1476.44157927684,141
"5044573, 5051594",1474.4775880065,142
"5032952, 5037762",1474.01742499603,143
"5004998, 5048629",1473.51658633948,144
"5046898, 5055886",1469.705198066,145
"5002369, 5010747",1466.76369746977,146
"5010132, 5054739",1466.72745476937,147
"5020906, 5026389",1466.49572822512,148
"5014493, 5032952",1464.77680848831,149
"5044573, 5054739",1459.71719569954,150
"5029761, 5041701",1455.17664598841,151
"5007406, 5029839",1455.12098174705,152
"5032895, 5033717",1454.29980605048,153
"5043757, 5044115",1453.9500170723,154
"5011405, 5055602",1453.09816699676,155
"5036319, 5055320",1452.32949520329,156
"5031672, 5036250",1451.70854127971,157
"5006317, 5041701",1451.28960126182,158
"5039519, 5045414",1449.48074823692,159
"5026742, 5027133",1448.88746357232,160
"5034696, 5042293",1447.54549321429,161
"5028365, 5035424",1446.62657365174,162
"5026742, 5045304",1445.68131195663,163
"5008742, 5036828",1444.94542402961,164
"5026864, 5029744",1443.99786030657,165
"5042236, 5055093",1442.16079856791,166
"5040462, 5042091",1441.46062328323,167
"5023022, 5028638",1440.48067582404,168
"5055012, 5055017",1436.92651005126,169
"5040035, 5042293",1436.08162919948,170
"5004166, 5028139",1435.69525562729,171
"5044144, 5045078",1434.4303158351,172
"5043635, 5051324",1431.92335323953,173
"5042042, 5046529",1430.69416420171,174
"5029839, 5042081",1428.23289237558,175
"5046672, 5048832",1426.80180269474,176
"5006567, 5045078",1426.04485507408,177
"5046758, 5052832",1425.79396829222,178
"5019980, 5045742",1423.92000032385,179
"5000442, 5023002",1423.49182249196,180
"5040919, 5042439",1422.46477053311,181
"5055609, 5055610",1421.12701817756,182
"5026408, 5050077",1420.86837088043,183
"5055274, 5055447",1418.39661062724,184
"5044116, 5050899",1416.70126708805,185
"5012326, 5053976",1415.91172955868,186
"5014493, 5055669",1415.52020462316,187
"5029858, 5047935",1413.71085456213,188
"5044373, 5054879",1410.2783997791,189
"5031405, 5039326",1408.36719131443,190
"5011176, 5046066",1408.20541734175,191
"5018455, 5021523",1407.85736425233,192
"5008634, 5020564",1406.89462556054,193
"5043913, 5044221",1406.20719001524,194
"5001654, 5002560",1405.35732518232,195
"5042492, 5049124",1405.0299512132,196
"5005288, 5011044",1404.05829214618,197
"5044993, 5055002",1403.49561029208,198
"5009873, 5015169",1403.46595582195,199
"5054368, 5054421",1402.09519140716,200
"5023281, 5023388",1400.92227649198,201
"5051038, 5051042",1397.3384032315,202
"5042236, 5042237",1396.01414436453,203
"5029915, 5055579",1395.6209503504,204
"5034696, 5040032",1395.39988883844,205
"5015403, 5052462",1394.80596799984,206
"5003238, 5044179",1394.23000147933,207
"5017917, 5033489",1394.04579454757,208
"5005127, 5041141",1393.17300353193,209
"5003238, 5034909",1392.54812439358,210
"5046895, 5046898",1390.90084226838,211
"5043976, 5054282",1390.43561002766,212
"5032389, 5036828",1390.13212375069,213
"5014493, 5055821",1388.94896593586,214
"5020906, 5037214",1386.64724741418,215
"5052798, 5053960",1386.19066608357,216
"5046936, 5050217",1386.16116777905,217
"5045548, 5050995",1385.74721686928,218
"5039848, 5043003",1384.38937395866,219
"5011432, 5050253",1383.00650350337,220
"5044294, 5044303",1381.41414975115,221
"5022257, 5029000",1381.22940588471,222
"5045334, 5046994",1380.92527420375,223
"5026974, 5037539",1380.34172907715,224
"5027239, 5028852",1380.0554954687,225
"5037762, 5046430",1380.03737097369,226
