"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Oct-93","STAR3","German Open 1993",12257,"XD","Semi final","5042983, 5050334","5050441, 5050470","15-5 / 15-3","15-May"," 15-3","","","",15,5,15,3,,,,,,,2,0,30,8,5,8
"Oct-93","STAR3","German Open 1993",12257,"XD","Quarter final","5050441, 5050470","5046164, 5046529","15-11 / 11-15 / 15-9","15-Nov"," 11-15 "," 15-9","","",15,11,11,15,15,9,,,,,2,1,41,35,5,6
"Oct-93","STAR3","German Open 1993",12257,"XD","Quarter final","5042983, 5050334","5030767, 5047345","9-15 / 18-14 / 15-6","Sep-15"," 18-14 "," 15-6","","",9,15,18,14,15,6,,,,,2,1,42,35,5,6
"Oct-93","STAR3","German Open 1993",12257,"XD","Round 2","5050441, 5050470","5045219, 5050440","15-13 / 15-5","15-13 "," 15-5","","","",15,13,15,5,,,,,,,2,0,30,18,5,4
"Oct-93","STAR3","German Open 1993",12257,"XD","Round 2","5030767, 5047345","5047873, 5054766","15-4 / 15-7","15-Apr"," 15-7","","","",15,4,15,7,,,,,,,2,0,30,11,5,4
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Final","5021791, 5046844","5050441, 5050470","15-4 / 15-4","15-Apr"," 15-4","","","",15,4,15,4,,,,,,,2,0,30,8,4,10
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Semi final","5021791, 5046844","5046994, 5049289","15-12 / 15-0","15-Dec"," 15-0","","","",15,12,15,0,,,,,,,2,0,30,12,4,8
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Quarter final","5021791, 5046844","5050083, 5055012","15-8 / 15-7","15-Aug"," 15-7","","","",15,8,15,7,,,,,,,2,0,30,15,4,6
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Round 2","5050441, 5050470","5046164, 5046529","8-15 / 17-14 / 15-11","Aug-15"," 17-14 "," 15-11","","",8,15,17,14,15,11,,,,,2,1,40,40,4,4
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Round 2","5050083, 5055012","5045110, 5046616","15-4 / 14-18 / 18-17","15-Apr"," 14-18 "," 18-17","","",15,4,14,18,18,17,,,,,2,1,47,39,4,4
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Round 2","5046994, 5049289","5047670, 5053215","15-10 / 15-8","15-Oct"," 15-8","","","",15,10,15,8,,,,,,,2,0,30,18,4,4
"Oct-93","STAR2","Denmark Open 1993",11301,"XD","Round 1","5046164, 5046529","5047873, 5054766","15-3 / 15-2","15-Mar"," 15-2","","","",15,3,15,2,,,,,,,2,0,30,5,4,4
"Nov-93","STAR4","Thailand Open 1993",10745,"XD","Final","5050027, 5053521","5046301, 5052046","15-5 / 15-11","15-May"," 15-11","","","",15,5,15,11,,,,,,,2,0,30,16,6,10
"Nov-93","STAR4","Thailand Open 1993",10745,"XD","Semi final","5046301, 5052046","5039298, 5046136","17-14 / 15-9","17-14 "," 15-9","","","",17,14,15,9,,,,,,,2,0,32,23,6,8
"Nov-93","STAR4","Thailand Open 1993",10745,"XD","Semi final","5050027, 5053521","5045379, 5047031","15-3 / 16-18 / 15-12","15-Mar"," 16-18 "," 15-12","","",15,3,16,18,15,12,,,,,2,1,46,33,6,8
"Nov-93","STAR4","Thailand Open 1993",10745,"XD","Quarter final","5046301, 5052046","5045377, 5047055","15-11 / 15-6","15-Nov"," 15-6","","","",15,11,15,6,,,,,,,2,0,30,17,6,6
"Nov-93","STAR4","China Open 1993",13514,"XD","Final","5046301, 5052046","5045379, 5047031","12-15 / 15-9 / 15-8","Dec-15"," 15-9 "," 15-8","","",12,15,15,9,15,8,,,,,2,1,42,32,6,10
